,total,name,uf,regiao,ano
1,288,MIGUEL,RO,Norte,2021
2,268,HEITOR,RO,Norte,2021
3,266,ARTHUR,RO,Norte,2021
4,186,LAURA,RO,Norte,2021
5,183,GAEL,RO,Norte,2021
6,181,HELENA,RO,Norte,2021
7,180,DAVI,RO,Norte,2021
8,163,ALICE,RO,Norte,2021
9,156,JOAO MIGUEL,RO,Norte,2021
10,153,SAMUEL,RO,Norte,2021
11,152,GABRIEL,RO,Norte,2021
12,130,ENZO GABRIEL,RO,Norte,2021
13,130,MARIA ALICE,RO,Norte,2021
14,129,HELOISA,RO,Norte,2021
15,112,CECILIA,RO,Norte,2021
16,111,THEO,RO,Norte,2021
17,108,NICOLAS,RO,Norte,2021
18,104,SOPHIA,RO,Norte,2021
19,98,LIVIA,RO,Norte,2021
20,90,PEDRO,RO,Norte,2021
21,89,JULIA,RO,Norte,2021
22,89,ISADORA,RO,Norte,2021
23,89,LORENA,RO,Norte,2021
24,87,BENICIO,RO,Norte,2021
25,87,EMANUELLY,RO,Norte,2021
26,83,VALENTINA,RO,Norte,2021
27,80,ELOA,RO,Norte,2021
28,79,GUSTAVO,RO,Norte,2021
29,79,ANA JULIA,RO,Norte,2021
30,78,SOFIA,RO,Norte,2021
31,77,MARIA CLARA,RO,Norte,2021
32,77,LORENZO,RO,Norte,2021
33,76,MURILO,RO,Norte,2021
34,74,JOAO PEDRO,RO,Norte,2021
35,74,GUILHERME,RO,Norte,2021
36,73,ISABELLA,RO,Norte,2021
37,72,MARIA CECILIA,RO,Norte,2021
38,69,ANA CLARA,RO,Norte,2021
39,69,RAVI,RO,Norte,2021
40,68,NOAH,RO,Norte,2021
41,68,MARIANA,RO,Norte,2021
42,68,MARIA EDUARDA,RO,Norte,2021
43,68,PEDRO HENRIQUE,RO,Norte,2021
44,68,MARIA JULIA,RO,Norte,2021
45,67,MAITE,RO,Norte,2021
46,66,REBECA,RO,Norte,2021
47,66,ELISA,RO,Norte,2021
48,64,ARTHUR MIGUEL,RO,Norte,2021
49,64,ANTHONY,RO,Norte,2021
50,61,MARIA HELENA,RO,Norte,2021
1,146,GAEL,AC,Norte,2021
2,117,ARTHUR,AC,Norte,2021
3,110,HEITOR,AC,Norte,2021
4,109,SAMUEL,AC,Norte,2021
5,107,MIGUEL,AC,Norte,2021
6,93,JOAO MIGUEL,AC,Norte,2021
7,87,ENZO GABRIEL,AC,Norte,2021
8,79,DAVI,AC,Norte,2021
9,76,RAVI,AC,Norte,2021
10,68,GABRIEL,AC,Norte,2021
11,63,THEO,AC,Norte,2021
12,62,MARIA ALICE,AC,Norte,2021
13,61,LORENA,AC,Norte,2021
14,60,GUILHERME,AC,Norte,2021
15,59,JOAO GUILHERME,AC,Norte,2021
16,58,ANA VITORIA,AC,Norte,2021
17,57,ISADORA,AC,Norte,2021
18,55,HELENA,AC,Norte,2021
19,54,MARIA CLARA,AC,Norte,2021
20,54,LAURA,AC,Norte,2021
21,50,MARIA JULIA,AC,Norte,2021
22,50,MARIA CECILIA,AC,Norte,2021
23,49,LORENZO,AC,Norte,2021
24,49,ALICE,AC,Norte,2021
25,49,REBECA,AC,Norte,2021
26,47,JOAO LUCAS,AC,Norte,2021
27,47,ELOA,AC,Norte,2021
28,47,ANA JULIA,AC,Norte,2021
29,45,ENZO,AC,Norte,2021
30,44,VALENTINA,AC,Norte,2021
31,43,PEDRO HENRIQUE,AC,Norte,2021
32,42,ARTHUR MIGUEL,AC,Norte,2021
33,40,MAITE,AC,Norte,2021
34,38,HELOISA,AC,Norte,2021
35,38,ESTHER,AC,Norte,2021
36,38,DANIEL,AC,Norte,2021
37,37,CECILIA,AC,Norte,2021
38,36,ANA CLARA,AC,Norte,2021
39,36,JOAO PEDRO,AC,Norte,2021
40,35,LEVI,AC,Norte,2021
41,35,ANA LIZ,AC,Norte,2021
42,35,MARIA HELENA,AC,Norte,2021
43,35,JOSUE,AC,Norte,2021
44,34,MARIA VITORIA,AC,Norte,2021
45,34,NICOLAS,AC,Norte,2021
46,34,BENJAMIM,AC,Norte,2021
47,34,AGATHA,AC,Norte,2021
48,34,GUSTAVO,AC,Norte,2021
49,33,ESTER,AC,Norte,2021
50,33,MARIA EDUARDA,AC,Norte,2021
1,436,ARTHUR,AM,Norte,2021
2,390,GAEL,AM,Norte,2021
3,352,MIGUEL,AM,Norte,2021
4,278,JOAO MIGUEL,AM,Norte,2021
5,278,HEITOR,AM,Norte,2021
6,258,GABRIEL,AM,Norte,2021
7,252,SAMUEL,AM,Norte,2021
8,249,ENZO GABRIEL,AM,Norte,2021
9,246,MARIA CLARA,AM,Norte,2021
10,240,MARIA ALICE,AM,Norte,2021
11,233,DAVI,AM,Norte,2021
12,215,RAVI,AM,Norte,2021
13,197,ANA CLARA,AM,Norte,2021
14,196,LAURA,AM,Norte,2021
15,195,MARIA EDUARDA,AM,Norte,2021
16,193,MARIA JULIA,AM,Norte,2021
17,175,THEO,AM,Norte,2021
18,173,HELENA,AM,Norte,2021
19,170,PEDRO HENRIQUE,AM,Norte,2021
20,170,ANA VITORIA,AM,Norte,2021
21,168,ALICE,AM,Norte,2021
22,166,ARTHUR MIGUEL,AM,Norte,2021
23,165,VALENTINA,AM,Norte,2021
24,159,ISADORA,AM,Norte,2021
25,158,ANA JULIA,AM,Norte,2021
26,157,BERNARDO,AM,Norte,2021
